Channel,Group,Source,Link
湖北卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6956052407855047826&livemode=1&stbId=2
吉林卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6042486520432105075&livemode=1&stbId=2
西藏卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6603041244077933770&livemode=1&stbId=2
贵州卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=5468064193211864646&livemode=1&stbId=2
陕西卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7120278140251237664&livemode=1&stbId=2
山东教育卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000004097&livemode=1&stbId=2
广东南方卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000011619&livemode=1&stbId=2
广东珠江,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=2
上海纪实人文,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=7081356299464623208&livemode=1&stbId=2
上海第一财经,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=6617141658685778844&livemode=1&stbId=2
上海ICS外语,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=6032059665143203976&livemode=1&stbId=2
上海新闻综合,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=7487426726248458200&livemode=1&stbId=2
上海都市,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=6789517052815334336&livemode=1&stbId=2
上海五星体育,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=4612233678249154892&livemode=1&stbId=2
上海哈哈炫动,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000000172&livemode=1&stbId=2
上海哈哈炫动,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7253543213338128343&livemode=1&stbId=2
湖南公共,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6307875884530512195&livemode=1&stbId=2
湖南娱乐,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6427893650335440392&livemode=1&stbId=2
湖南电影,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7884242846753128038&livemode=1&stbId=2
湖南电视剧,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=8765482907954673867&livemode=1&stbId=2
湖南金鹰卡通,special,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000016601&livemode=1&stbId=2
